idx,content,pubdate,url,uid,pid,mid,testdate,status,retestdate,status_2,followers,error,topic,class,controversial,cap
39995,书里的世界好像和微博里的不一样。而且不是每天默念富强民主文明和谐世界就真的变成那这样了关于那谁判了那么多年我不知道怎么评论毕竟是社会需求带动了生产啊不懂只是看到有人说牢里蹲了一群画画写文的外面游荡了一群杀人强奸的心里有一点难过而已,12/17/18,https://weibo.com/6030414813/H7HwHDRC0,6030414813,H7HwHDRC0,4318360000000000.0,12/21/18,available,1/1/19,available,35.0,,democracy,uncensored,0.6363636363636364,0.18181818181818182
6282,成都清理禁养犬对这个国家好失望，这个禁止养大型犬，只能养一个的政策，与当年不让养二胎的何其相似。让我活生生失去了一个妹妹或弟弟。这个私事不是由个人决定的吗，中国。。。真的没有人权,11/15/18,https://weibo.com/3592244797/H2OpAhrZX,3592244797,H2OpAhrZX,4306700000000000.0,11/20/18,available,12/1/18,available,85.0,,hr,uncensored,0.6363636363636364,0.18181818181818182
809,挺有意思的原来高通是美国公司啊......这么看来怎么觉得只是高通和因特尔抢占5g市场，刚好赶上了孟晚舟的事情的东风，借个家国情怀.........都是人家的套路,12/19/18,https://weibo.com/5499188706/H814gBQpG,5499188706,H814gBQpG,4319110000000000.0,12/23/18,not available,12/24/18,not available,7.0,Permission Denied!,meng,censored,0.8181818181818182,0.18181818181818182
7924,【中国获联合国人口奖】那年今日1983年9月30日，在联合国举行了授予中国国家计划生育委员会主任钱信忠1983年度联合国人口奖的仪式。联合国人口奖包括一份获奖证书，一枚金质奖章和12500美元的奖金。,9/29/18,https://weibo.com/3940091141/GBHUc4cfQ,3940091141,GBHUc4cfQ,4289870000000000.0,10/3/18,available,1/2/19,available,400001.0,,fp,uncensored,0.36363636363636365,0.09090909090909091
6929,孟晚舟事件将会加强中国与伊朗，俄罗斯，德国法国等欧盟国家的合作和联系，加大各国之间利益合作，把孟晚舟事件提交联合国人权理事会。哈哈哈。,12/6/18,https://weibo.com/1913865677/H5Z7A1zIV,1913865677,H5Z7A1zIV,4314270000000000.0,12/10/18,available,12/21/18,available,452.0,,hr,uncensored,0.8181818181818182,0.09090909090909091
37941,印度北方邦，一名四岁女孩被蛇咬伤，送进医院急救，由奶奶照顾。11月3日夜，奶奶有事离开。一名医院工作人员和四名男子趁机轮流性侵了这名女孩！奶奶回来后发现异常，向警方报警。目前只抓到一只禽兽这就是公知年年必夸的最大民主国家，尼玛，才四岁，而且还是在医院，居然有五个人能干出这种事。,11/5/18,https://weibo.com/2624755655/H1jVpoC1m,2624755655,H1jVpoC1m,4303150000000000.0,11/9/18,available,11/29/18,available,1746503.0,,democracy,uncensored,0.9090909090909091,0.09090909090909091
473,友情提醒：特朗普说：“.....没有与中国达成贸易协议的压力，他们有与我们达成协议的压力......我们的市场在飙升，他们的市场正在崩溃....”点评：特朗普以为中国股市崩盘了会给中国带来达成协议的压力，真是一个可爱老头啊！你在意股市，是因为投资者可以投票决定谁当总统，所以股市在美国很重要。股市在中国，就是服务实体经济的....明白吗？就算跌到2000，只要可以继续发新股融资服务实体经济，都是健康的，明白吗？特朗普上上周咋咋呼呼上周要打2000亿，后面还要跟2670亿，可是这边根本没人搭理他。说好的2000亿，没下文了。今天说这话是不打自招，他肯定着急了。四处开战，一根硬骨头没啃下，距离11月6号不远了，能不急吗？走路上也有被撞的风险，喝凉水也有塞牙的时候。我反正按照我的逻辑行动了，今天尽量调仓加强进攻。不过，特朗普这个人反复无常，即便接下来可以达成协议，不排除他是为了中期选举做出的妥协，中期选举后翻脸继续干。所以，虽然是加强进攻，总仓位原则上以本金满仓为限，出击的目标以中小超跌为主，但尽量选择风险可控的ETF。,9/14/18,http://weibo.com/3953142551/Gzhkbeu7z,3953142551,Gzhkbeu7z,4284080000000000.0,9/17/18,not available,12/27/18,not available,25719.0,Permission Denied!,trump,censored,0.5454545454545454,0.0
797,放弃孟晚舟，就是放弃中国的未来！O放弃孟晚舟，就是放弃中国的未来！,12/13/18,https://weibo.com/1750360085/H79elzGLl,1750360085,H79elzGLl,4317040000000000.0,12/17/18,not available,12/21/18,not available,504114.0,Permission Denied!,meng,censored,0.9090909090909091,0.0
27040,外围的形式不影响境内的股市，但如果要向好，也需要外力添加一把冬天里的火，烧到春天里！7号折腾的中期选举就结束了，政客们闹完这个都会集中精力抓经济干正事。从目前来看，参院都预计会保持优势，估计还会扩大55：45？预计特朗普会得到蒙大拿，艾奥瓦，俄亥俄，伊里亚诺，西弗吉利亚，印地斯安娜等系列的原有席位和扩大4个席位左右；众院也说不清，也许只有微弱的几个席位差距，会否出现关键性的中间独立派，谁都没有优胜席位？这世界意外也多。这对近期的美股美债调整很重要，虽然这已经不太影响国内的股市，还是在汇率和其他联动下有比较大的影响。美国的重点是苹果和亚马逊的市值过大，出现体量泡沫，类是过去的两桶油还会带动纳指等继续调整。美债收益率重返320以上，这美元指数已经不堪重负？加息缩表贬值的三元模式结构的美元会否这样？股债怎么走？油市会否掉头再往100美元以上？这都要等7号不出意外之后才能确定。一个四处退群的老川普，如果在国内在成为完全的跛鸭，那美国的经济向好不能持续，出现问题给世界经济的破坏会很大。国内股市强劲修复和反弹才开始，仅仅是暂时的调整。但力度有多大？外资们持续的从美股美债流出，会否继续的向上周五那样猛烈抄底偷袭？这最危险的热钱流入国内市场造成大幅度波动还是个比较大的风险！后市操作我发在了公众号“鬼才谈市”自己看『鬼才谈市』O心神不宁,11/6/18,https://weibo.com/5731245808/H1rPdqaEf,5731245808,H1rPdqaEf,4303450000000000.0,11/10/18,available,12/11/18,available,12471.0,,trump,uncensored,0.45454545454545453,0.0
81,挺服中国教育的。说要重视思想品德，弄本密密麻麻套话文字书，你背吧，考试要闭卷考的，你的内心？谁关心？阅卷老师不听；说要发展乐器，中考加了葫芦丝，弄得孩子大早晨五点半开始吹吹吹；说要读名著，（比如西游记）布置下来每天读哪本的哪些，还挺好，结果再给你来一句：哪章到哪章各写一篇读后感。我读后感你个锤子？我有什么感悟？说实话有些名著能给人的启发…真的很勉强全面发展是这么发展的吗你告诉我，你还不如全心全意当个书呆子，别搞这些花里胡哨依旧枯燥的东西，我就闭嘴了。不过再想想这人这么多，竞争这么激烈，中国教育也就这样了。只能叹息吧。,12/5/18,https://weibo.com/5032681210/H5V2ipDKh,5032681210,H5V2ipDKh,4314110000000000.0,12/9/18,available,12/21/18,not available,461.0,Permission Denied!,china,censored,0.7272727272727273,0.0
